"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
767.792874484978,0.458427237356407,0.0533469032843828,8.59332424438235,8.44886842336202e-18,1.68132481624904e-13,"C2CD2L"
1376.57809969458,1.00157646210236,0.125975093855316,7.95059111646845,1.85623655328377e-15,1.2313035803449e-11,"FGF1"
30.080809139307,-3.52436829097364,0.443211187384446,-7.95189379530838,1.8368169324916e-15,1.2313035803449e-11,"SERPINB4"
5714.1906707555,-0.737839484915983,0.0960284457478631,-7.68355125577363,1.54738013564901e-14,7.69821617485383e-11,"IL1R1"
1667.02470002128,1.2910037586651,0.168674969069991,7.65379573379023,1.95132149631344e-14,7.76625955532747e-11,"EPHA2"
14136.9198435589,-0.316499604290923,0.0415070406183446,-7.62520284693682,2.43650947267078e-14,8.08108975102474e-11,"EIF4B"
808.01873743861,-1.20861859314304,0.159396297535032,-7.5824759535422,3.39021934547264e-14,9.63790928212936e-11,"NFIB"
239.676307378893,-0.633251201441013,0.0844798216172629,-7.49588705702963,6.58514767896921e-14,1.63805548514359e-10,"COQ8A"
1712.80108118111,0.820115485377448,0.110291840889501,7.43586722973557,1.03884139890401e-13,2.29699375979887e-10,"PHLDA2"
1296.44408038995,0.840352244955197,0.115220857930216,7.29340381638334,3.02220501278327e-13,6.0141879754387e-10,"HYI"
704.491170594193,3.61708781527534,0.50453313822021,7.16917788202172,7.5449470673285e-13,1.32766288954177e-09,"NRXN3"
220.11619156509,2.18310469988966,0.30485808469171,7.16105233717957,8.00600737412125e-13,1.32766288954177e-09,"PDLIM3"
988.929272416061,3.15887525141952,0.446633754085579,7.07262991774296,1.52024539180025e-12,2.28799932754634e-09,"ADGRF5"
94.285220262357,2.42689730403918,0.343991341892494,7.055111592889,1.72462260870327e-12,2.28799932754634e-09,"CORIN"
285.062769073606,3.02660095951248,0.428813510676256,7.05808208966973,1.68816327777284e-12,2.28799932754634e-09,"SLC24A3"
43.3105627806288,-3.06325704300949,0.435798695375141,-7.02906428017781,2.07923180314002e-12,2.5860445551554e-09,"PLAC9P1"
674.850088230545,-0.831566077698543,0.118507975699894,-7.01696297474842,2.26742662708066e-12,2.65422293405324e-09,"ASS1"
62.9399165207076,-2.49469519710512,0.356253756592028,-7.00257934391967,2.51292483343558e-12,2.77817801029822e-09,"PF4V1"
2721.24509340858,0.326061887920263,0.0468505952876047,6.95961035113101,3.41215154567725e-12,3.57377977678828e-09,"KLC2"
2608.26270211211,-0.989502001707651,0.142892019266398,-6.92482342112397,4.36519664006067e-12,4.34337065686036e-09,"ANGPTL2"
2719.71480219019,0.376642063194283,0.0548539557718945,6.86626985956159,6.59023552650859e-12,6.24503271321528e-09,"SLC7A6"
99.5849389050663,-1.2857623199566,0.187913988997249,-6.84229166129522,7.79362049661224e-12,7.04968399466289e-09,"ARHGAP28"
926.614485944835,0.302110261991699,0.0443597821312185,6.81045414285493,9.72911225050211e-12,8.41779712108661e-09,"PANK4"
2481.54053838034,1.14982218481621,0.168991240190776,6.80403424176402,1.01729342526665e-11,8.43505798450262e-09,"CNN1"
1585.87247865731,-0.400611070762585,0.0590130304826279,-6.78851886585482,1.13290567469445e-11,9.01792917056784e-09,"CCNG2"
261.374151258144,1.84990155243185,0.272758503798356,6.78219570305109,1.18362984313952e-11,9.05932072249091e-09,"SH2D5"
214.33147972317,2.18874345289124,0.323259469622787,6.77085641279217,1.28022284790942e-11,9.43571654570279e-09,"LRRN3"
1755.7986848901,2.38508199101297,0.355345556087311,6.71200736903809,1.91964997769891e-11,1.36432266272173e-08,"ANKRD1"
3444.03960292024,0.298419054868821,0.0449212712396824,6.64315694176538,3.07034601437106e-11,2.10689260986152e-08,"CCND3"
43.1014297904495,-2.82474531347542,0.425801818788613,-6.63394374761409,3.26834427774044e-11,2.16800170423449e-08,"LINC01050"
7737.01222145372,2.11910309724704,0.322726264788746,6.56625545687824,5.15962706444155e-11,3.20864308069959e-08,"ACTA2"
356.016978997714,-0.590447427725577,0.0898760150575814,-6.56957729319987,5.04582973797294e-11,3.20864308069959e-08,"ALDH6A1"
390.252648191365,-1.32837000487364,0.202503058254249,-6.55975280731729,5.38970472237411e-11,3.25015527197712e-08,"AKR1C3"
10977.095791102,0.914770383881127,0.13993505711644,6.53710658880815,6.27203511713542e-11,3.67098525973514e-08,"DKK3"
65350.1231588572,0.652716763985261,0.0999853063082627,6.52812686269003,6.65972797636087e-11,3.68134963137726e-08,"CCND1"
98.7419104419686,-1.50097936590808,0.229828673802022,-6.53086205945322,6.53922046741439e-11,3.68134963137726e-08,"THRB"
10432.4354337616,0.740459896909124,0.113631144732362,6.51634636483815,7.20405220437454e-11,3.87461186127171e-08,"FAM180A"
6856.05917932614,1.11451490446952,0.171396322324249,6.50256020290252,7.89644026905574e-11,4.04865433408711e-08,"FSTL3"
75.410824259107,-3.19878201571195,0.492269702776566,-6.49802739772476,8.13799866148163e-11,4.04865433408711e-08,"SCARA5"
401.421825184827,-1.27124447729928,0.19560155823155,-6.49915311919143,8.0773417668727e-11,4.04865433408711e-08,"TGFB3"
321.512937869931,-1.67112926292525,0.257487432255755,-6.49013914304511,8.57571346256464e-11,4.09114726032802e-08,"ENOX1"
5988.80646701312,1.1528412344519,0.177657878681171,6.48910840886949,8.63458215747623e-11,4.09114726032802e-08,"ITGA3"
50.5006029565177,1.50179126215247,0.232258687646166,6.46602836420212,1.00612200821606e-10,4.65623906127898e-08,"MYEOV"
1931.69145211251,1.22782115668208,0.190138551189859,6.4575076910945,1.06441344371324e-10,4.81405171133945e-08,"KLF2"
345.872043023343,-1.8563249047968,0.287922357752391,-6.44731072393209,1.1385221975285e-10,5.03479816240383e-08,"DGAT2"
987.924903619321,-2.64167114341271,0.410846380694688,-6.4298269804543,1.27749272182951e-10,5.52654460095809e-08,"EDNRB"
1617.28352933973,0.548137743823014,0.0853253388541634,6.42409102833897,1.32659805090864e-10,5.61687259852805e-08,"FADS1"
